|Chapter 1|OF FIDDLE MORD|1.txt
|Chapter 90|THE QUARREL OF NJAL'S SONS WITH THRAIN SIGFUS' SON|90.txt
|Chapter 91|THRAIN SIGFUS' SON'S SLAYING|91.txt
|Chapter 92|KETTLE TAKES HAUSKULD AS HIS FOSTER-SON|92.txt
|Chapter 93| NJAL TAKES HAUSKULD TO FOSTER|93.txt
|Chapter 94|OF FLOSI THORD'S SON|94.txt
|Chapter 95|OF HALL OF THE SIDE|95.txt
|Chapter 96|OF THE CHANGE OF FAITH|96.txt
|Chapter 97|OF THANGBRAND'S JOURNEYS|97.txt
|Chapter 98|OF THANGBRAND AND GUDLEIF|98.txt
|Chapter 99|OF GEST ODDLEIF'S SON|99.txt
|Chapter 100|OF GIZUR THE WHITE AND HJALLTI|100.txt
|Chapter 101|OF THORGEIR OF LIGHTWATER|101.txt
|Chapter 102|THE WEDDING OF HAUSKULD, THE PRIEST OF WHITENESS|102.txt
|Chapter 103|THE SLAYING OF HAUSKULD NJAL'S SON|103.txt
|Chapter 104|THE SLAYING OF LYTING'S BROTHERS|104.txt
|Chapter 105|OF AMUND THE BLIND|105.txt
|Chapter 106|OF VALGARD THE GUILEFUL|106.txt
|Chapter 107|OF MORD AND NJAL'S SONS|107.txt
|Chapter 108|OF THE SLANDER OF MORD VALGARD'S SON.|108.txt
|Chapter 109|OF MORD AND NJAL'S SONS|109.txt
|Chapter 110|THE SLAYING OF HAUSKULD, THE PRIEST OF WHITENESS|110.txt
|Chapter 111|OF HILDIGUNNA AND MORD VALGARD'S SON|111.txt
|Chapter 112|THE PEDIGREE OF GUDMUND THE POWERFUL|112.txt
|Chapter 113|OF SNORRI THE PRIEST, AND HIS STOCK|113.txt
|Chapter 114|OF FLOSI THORD'S SON|114.txt
|Chapter 115|OF FLOSI AND HILDIGUNNA|115.txt
|Chapter 116|OF FLOSI AND MORD AND THE SONS OF SIGFUS|116.txt
|Chapter 117|NJAL AND SKARPHEDINN TALK TOGETHER|117.txt
|Chapter 118|ASGRIM AND NJAL'S SONS PRAY MEN FOR HELP|118.txt
|Chapter 119|OF SKARPHEDINN AND THORKEL FOULMOUTH|119.txt
|Chapter 120|OF THE PLEADING OF THE SUIT|120.txt
|Chapter 121|OF THE AWARD OF ATONEMENT BETWEEN FLOSI AND NJAL|121.txt
|Chapter 122|OF THE JUDGES|122.txt
|Chapter 123|AN ATTACK PLANNED ON NJAL AND HIS SONS|123.txt
|Chapter 124|OF PORTENTS|124.txt
|Chapter 125|FLOSI'S JOURNEY FROM HOME|125.txt
|Chapter 126|OF PORTENTS AT BERGTHORSKNOLL|126.txt
|Chapter 127|THE ONSLAUGHT (1) ON BERGTHORSKNOLL|127.txt
|Chapter 128|NJAL'S BURNING|128.txt
|Chapter 129|SKARPHEDINN'S DEATH|129.txt
|Chapter 130|OF KARI SOLMUND'S SON|130.txt
|Chapter 131|NJAL'S AND BERGTHORA'S BONES FOUND|131.txt
|Chapter 132|FLOSI'S DREAM|132.txt
|Chapter 133|OF FLOSI'S JOURNEY AND HIS ASKING FOR HELP|133.txt
|Chapter 134|OF THORHALL AND KARI|134.txt
|Chapter 135|OF FLOSI AND THE BURNERS|135.txt
|Chapter 136|OF THORGEIR CRAGGEIR|136.txt
|Chapter 137|OF EYJOLF BOLVERK'S SON|137.txt
|Chapter 138|OF ASGRIM, AND GIZUR, AND KARI|138.txt
|Chapter 139|OF ASGRIM AND GUDMUND|139.txt
|Chapter 140|OF THE DECLARATIONS OF THE SUITS|140.txt
|Chapter 141|NOW MEN GO TO THE COURTS|141.txt
|Chapter 142|OF EYJOLF BOLVERK'S SON|142.txt
|Chapter 143|THE COUNSEL OF THORHALL ASGRIM'S SON|143.txt
|Chapter 144|BATTLE AT THE ALTHING|144.txt
|Chapter 145|OF KARI AND THORGEIR|145.txt
|Chapter 146|THE AWARD OF ATONEMENT WITH THORGEIR CRAGGEIR|146.txt
|Chapter 147|KARI COMES TO BJORN'S HOUSE IN THE MARK|147.txt
|Chapter 148|OF FLOSI AND THE BURNERS|148.txt
|Chapter 149|OF KARI AND BJORN|149.txt
|Chapter 150|MORE OF KARI AND BJORN|150.txt
|Chapter 151|OF KARI AND BJORN AND THORGEIR|151.txt
|Chapter 152|FLOSI GOES ABROAD|152.txt
|Chapter 153|KARI GOES ABROAD|153.txt
|Chapter 154|GUNNAR LAMBI'S SON'S SLAYING|154.txt
|Chapter 155|OF SIGNS AND WONDERS|155.txt
|Chapter 156|BRIAN'S BATTLE|156.txt
|Chapter 157|THE SLAYING OF KOL THORSTEIN'S SON|157.txt
|Chapter 158|OF FLOSI AND KARI|158.txt
