Volume 1|LETTER 1| LADY HOWARD TO THE REV. MR. VILLARS|1.txt
Volume 2|LETTER 15| EVELINA TO THE REV. MR. VILLARS|46.txt
Volume 2|LETTER 16| EVELINA TO THE REV. MR. VILLARS.|47.txt
Volume 2|LETTER 17| EVELINA IN CONTINUATION.|48.txt
Volume 2|LETTER 18| MR. VILLARS TO EVELINA.|49.txt
Volume 2|LETTER 19|EVELINA TO THE REV. MR. VILLARS.|50.txt
Volume 2|LETTER 20| EVELINA IN CONTINUATION.|51.txt
Volume 2|LETTER 21| EVELINA IN CONTINUATION.|52.txt
Volume 2|LETTER 22| EVELINA IN CONTINUATION.|53.txt
Volume 2|LETTER 23|EVELINA IN CONTINUATION.|54.txt
Volume 2|LETTER 24|EVELINA IN CONTINUATION.|55.txt
Volume 2|LETTER 25| MR. VILLARS TO EVELINA. |56.txt
Volume 2|LETTER 26| EVELINA TO MISS MIRVAN.  |57.txt
Volume 2|LETTER 27| EVELINA TO MISS MIRVAN.  |58.txt
Volume 2|LETTER 28| EVELINA IN CONTINUATION. |59.txt
Volume 2|LETTER 29| EVELINA IN CONTINUATION. |60.txt
Volume 2|LETTER 30| EVELINA IN CONTINUATION.  |61.txt
Volume 3|LETTER 1| EVELINA TO THE REV. MR. VILLARS.  |62.txt
Volume 3|LETTER 2| EVELINA IN CONTINUATION.  |63.txt
Volume 3|LETTER 3|EVELINA IN CONTINUATION.  |64.txt
Volume 3|LETTER 4|EVELINA IN CONTINUATION.  |65.txt
Volume 3|LETTER 5| EVELINA IN CONTINUATION.  |66.txt
Volume 3|LETTER 6| MR. VILLARS TO EVELINA.  |67.txt
Volume 3|LETTER 7| EVELINA TO THE REV. MR. VILLARS.  |68.txt
Volume 3|LETTER 8| EVELINA IN CONTINUATION.  |69.txt
Volume 3|LETTER 9| EVELINA IN CONTINUATION.  |70.txt
Volume 3|LETTER 10| EVELINA IN CONTINUATION.  |71.txt
Volume 3|LETTER 11| EVELINA IN CONTINUATION. |72.txt
Volume 3|LETTER 12| MR. VILLARS TO EVELINA.  |73.txt
Volume 3|LETTER 13|LADY BELMONT TO SIR JOHN BELMONT. |74.txt
Volume 3|LETTER 14|EVELINA TO THE REV. MR. VILLARS. |75.txt
Volume 3|LETTER 15| EVELINA IN CONTINUATION.  |76.txt
Volume 3|LETTER 16| EVELINA IN CONTINUATION. |77.txt
Volume 3|LETTER 17| EVELINA IN CONTINUATION. |78.txt
Volume 3|LETTER 18| EVELINA IN CONTINUATION.  |79.txt
Volume 3|LETTER 19| EVELINA IN CONTINUATION. |80.txt
Volume 3|LETTER 20| EVELINA IN CONTINUATION. |81.txt
Volume 3|LETTER 21| EVELINA IN CONTINUATION. |82.txt
Volume 3|LETTER 22| MR. VILLARS TO EVELINA.|83.txt
Volume 3|LETTER 23|EVELINA TO THE REV. MR. VILLARS.|84.txt
